Year,Annual_Mean_eastup,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1948,1106.4166666667,-333.6617420088,-653.8306079904,896.8022003777,-500.3742391553,1029.356013842,-1052.7095376881,435.9858341547,-579.0230748881,-1054.9064803088,892.5600127346,-647.9997327743,-986.8046721959,-405.6895821254,340.5296896576,-1016.8943862045,942.80969396
1949,984.1666666667,311.1376100367,-798.3718721004,900.0792056252,-302.3681891769,953.6134221668,-962.9153595498,467.2942981055,-579.2250576976,-933.6902138282,575.4879508875,-398.0470466904,-936.5668721195,-243.3217393519,203.4159239608,-866.1524500548,795.6647285843
1950,784.5833333333,638.0376938957,-747.049110706,767.8267121579,-121.3439852299,778.5371355359,-780.3829342674,432.8963317161,-510.0816300029,-456.5949059206,239.7678734479,-161.2859170578,-775.1429830637,-97.2159222344,81.0770180051,-654.3483574757,596.1440578233
1951,633.8333333333,633.8183972369,-633.8295992982,633.8316737612,1.0878317671,633.8327358872,-633.8329184402,395.6744301621,-448.5722898706,4.3512950251,-2.1756603298,1.4504418022,-633.8323998238,0.8702655674,-0.7252213758,-495.1630436132,447.8030763681
1952,748.0833333333,602.3205741625,-710.7090320468,731.3947681991,118.2351299052,742.0610758009,-743.8994924679,517.4779096454,-569.2444131073,443.6649631778,-233.4980629002,157.1316857353,-738.6806669105,94.7313749097,-79.0077130226,-540.227069518,485.3755986422
1953,1089.3333333333,330.1636684096,-879.2910213818,994.233551997,338.235193186,1054.7716622574,-1065.2931193854,820.9832006743,-881.7873841111,1038.0939568138,-643.0353107166,445.1367825675,-1035.4921850026,272.2202263056,-227.5910387102,-715.9844239378,639.6077863297
1954,805.9166666667,-253.5670451835,-471.7773658095,651.0658920546,366.9389809963,748.9711991202,-766.2266398123,652.3999568397,-687.467786171,764.9872072186,-653.3971156357,474.9893449482,-717.5356840162,297.563130276,-249.7967374749,-473.1553338246,420.582591875
1955,1191.6666666667,-967.979663408,-365.0755713205,795.7288345806,701.7909429765,1043.6228630847,-1088.1895451436,1023.4726621667,-1062.1606088907,695.0430315261,-1134.3673442362,887.0654238903,-963.098601806,575.2571286751,-485.70871753,-610.3877081347,540.2631630654
1956,1041.5833333333,-1041.5688560403,2.7458429628,519.205548177,737.4808012904,842.0125622007,-901.5796375898,938.7742841427,-962.5600115201,-5.4916668429,-1041.5797140038,902.9515153207,-735.5391954246,613.1155562975,-521.5841229957,-451.2191083166,397.9623908112
1957,771,-621.4994304834,240.0676353627,237.0409347575,624.3128810399,561.5116146786,-623.3777188423,722.02862809,-733.4119685694,-456.2668713689,-732.672184849,733.6570010906,-452.4095783333,528.3424141417,-453.6972775442,-270.3990758463,237.7979906541
