Year,annual_Mean_punjab,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1945,638.4166666667,-519.7633171988,194.6153589213,199.0569859238,-515.665360967,466.1520972973,-517.0382663343,86.4898606071,-197.9475680752,370.7046457389,608.0301821043,-606.5906005147,-376.3842129747,-436.2087372614,374.4960232416,-632.5309038221,606.9535407022
1946,397.1666666667,-397.1524613715,-1.6795638905,199.5522424161,-280.2447986309,321.7090133797,-344.2360091982,88.8456782927,-152.3769480404,-3.3590977447,397.163115327,-343.3952004001,-281.4324323021,-232.9048557274,198.0982864197,-387.1018038706,366.7732634981
1947,597.5,-480.5131655033,-186.9487010008,401.0087481352,-350.2173618997,524.0611189017,-546.1725812464,185.2982669494,-271.8008243778,-355.1244116898,567.5001614045,-442.9426982343,-484.1012801305,-286.9951108565,242.2844639976,-568.0411976833,532.1001427058
1948,517.5833333333,-156.0874504494,-305.8629137778,419.5253797202,-234.0758002104,481.5342473429,-492.4590599217,203.9548102685,-270.8678404858,-493.4867928898,417.5408781422,-303.1352218318,-461.628667546,-189.7821793011,159.3002863948,-475.7046797255,441.0477524429
1949,526.9166666667,166.5811268639,-427.4432978231,481.8967669067,-161.8860338837,510.5586510043,-515.5388499944,250.1864391974,-310.1134665387,-499.8918900962,308.1126429688,-213.1118946845,-501.4320349206,-130.2729346251,108.9076111096,-463.7325945552,425.9939101472
1950,816.6666666667,664.1284546127,-777.5975873521,799.224830499,-126.3060069308,810.3732265802,-812.2945040702,450.5984121952,-530.9399866201,-475.2660730773,249.5725076781,-167.881251956,-806.840279769,-101.1912945191,84.3924350982,-681.1060970008,620.5216958756
1951,410.5,410.4903266881,-410.4975816649,410.4989251838,0.7045305396,410.4996130661,-410.4997312959,256.2571973414,-290.5163160534,2.818101406,-1.409059004,0.9393736942,-410.4993954158,0.5636245313,-0.4696871545,-320.6906590638,290.0181375479
1952,438.25,352.8577363842,-416.3549960493,428.473330284,69.2657400213,434.721978126,-435.7989785996,303.1543195751,-333.4807138834,259.9124475161,-136.7902765726,92.0525270449,-432.7416316456,55.4965245238,-46.2851245166,-316.481470268,284.3478080939
1953,552.1666666667,167.3549928765,-445.6993809422,503.9620192421,171.4463272683,534.647875927,-539.9810441438,416.1440244545,-446.9647496267,526.1941981219,-325.9449180545,225.6331335138,-524.8753991606,137.9843344171,-115.362471121,-362.9217252916,324.2075575444
1954,550.6666666667,-173.25726756,-322.3559955816,444.8602434802,250.722033546,511.7569727832,-523.5472687292,445.7717831452,-469.7329263797,522.7003893393,-446.4531217165,324.5506763952,-490.2777168834,203.3189085786,-170.6810920519,-323.2975334415,287.375635106
