Year,Mean_coastalkar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1938,6814.25,-2034.2659746885,4035.5920349113,-6214.9171703838,-6080.030266635,-412.8993451892,-1428.9863075293,-3219.620891808,1581.6378880899,-6503.5194323324,-5490.7194419548,-2794.4243821884,3076.8872288894,-6801.7289855773,6662.7322620224,-6005.6676877375,6628.1539400846
1939,6219.75,1985.1174243601,5051.3475510335,-5018.8275230017,-5920.4479979576,403.8088741238,-1932.5420533989,-2435.7825774887,964.7755249806,-5894.4549259454,-3628.9362051665,-3673.7801181972,1906.1966231162,-6206.6277845283,5911.9008173637,-5722.958439278,6144.4689151218
1940,8319,6780.551554185,7925.0605480105,-5545.0966166409,-8219.9251729836,1575.7680533016,-3396.7706903885,-2558.9899360812,641.951511389,-4819.7387502893,-2529.6593269387,-6201.4243938081,1280.074666006,-8168.397397421,7593.9258540572,-7915.6384143691,8294.1943103008
1941,4926.75,4926.5011749006,4926.6877933324,-2449.0672102375,-4926.7344483086,1531.8648681419,-2470.5185371155,-1089.4075440537,-6.1894788065,49.5150098764,24.7578175381,-4274.9193398519,-12.3789478442,-4682.5479803471,4262.5583538843,-4804.7951845483,4926.7461120756
1942,7226.25,5804.5468856119,6861.6250259925,-2210.7280043008,-7134.5114376031,3089.5081570746,-4256.9599376446,-960.0467008334,-575.7281417999,4304.1752421612,2266.4489990233,-6879.7798477495,-1147.7959789139,-6532.5055231411,5839.2620382878,-7162.1923595167,7203.2788484995
1943,6982,2094.9547675445,5629.1783675327,-708.0261945135,-6635.1807572256,3752.2345641674,-4680.0045464672,-303.8662793597,-1100.3390279934,6660.2919246789,4130.4569851897,-6946.0076956395,-2173.1774706506,-5888.0437987049,5181.3011343722,-6975.3845259074,6894.7500334294
1944,6379.75,-2026.5516903444,3726.413618751,686.0973002512,-5677.7987524536,4075.5404096613,-4747.5435392305,294.5067605265,-1496.3745305796,6049.322136311,5178.3251736915,-6342.7502360639,-2909.2630319613,-4908.2767272963,4261.6945462587,-6372.948754737,6201.7798515211
1945,8467,-6893.3601462811,2581.0858801518,2639.9929510253,-6839.0110084443,6182.3414298124,-6857.2191636381,1147.0716351814,-2625.2792986178,4916.4697592545,8063.9992980705,-8044.9068495873,-4991.7950104524,-5785.2176661925,4966.752897199,-8388.9400798768,8049.7203432324
1946,8415.75,-8415.4489973663,-35.5890637302,4228.4056670914,-5938.2379288562,6816.8425413762,-7294.1775771955,1882.5925734579,-3228.7863209516,-71.1774910079,8415.6747490052,-7276.3612868665,-5963.4032534111,-4935.1297681605,4197.5971144022,-8202.4809213348,7771.7299847676
1947,7348.5,-5909.7087810891,-2299.2343586688,4931.9042438012,-4307.2339479835,6445.2939451867,-6717.2371770533,2278.9360915113,-3342.8089672642,-4367.5845009247,6979.5396419762,-5447.639193263,-5953.8380870947,-3529.6796186254,2979.7947844127,-6986.1937090813,6544.1638471525
