Year,Mean_pen,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1929,1672.25,538.7665580041,-1359.6640098058,-182.486381082,511.2347416316,-1553.104740262,1116.0773296989,-1611.102054149,1351.1721502447,-1583.0826442345,973.5162263357,1662.2631510142,1592.1868927513,-619.907838534,1245.3077758659,-448.07391535,985.2684319023
1930,1367.5,1117.1236340465,-1303.403778489,-428.4524872717,209.3461044734,-1196.5590816816,801.2950373164,-1279.368374113,1038.3489413168,-788.7274790792,413.7569820809,1298.6472639446,1351.3809450121,-662.0442689468,1108.1437240593,-482.9832433112,889.8807369903
1931,1724.25,1724.0989715832,-1724.2122424824,-868.7046397266,-5.7054097012,-1392.2598187933,858.8288791871,-1552.0782291568,1217.2100290876,22.8210141237,-11.4107569339,1489.4261685016,1724.2405605948,-1017.1777914768,1495.1424744065,-751.060072882,1221.2443684982
1932,1457,1167.5774152019,-1382.7525617314,-979.5763204499,-232.5709757874,-1059.5270673101,589.7483790162,-1249.3787725308,944.4556866994,871.5572152821,-459.1779099928,1078.5542324862,1438.3183726913,-1000.1256889198,1332.3084663274,-749.6010157074,1109.4379008584
1933,1845.5,548.1333505829,-1486.1780425812,-1497.5831791213,-575.8162347557,-1172.7792304677,566.6041355883,-1491.0860908883,1082.4050509764,1762.2202132477,-1094.1412503647,1078.478034831,1753.369873641,-1424.9417976126,1756.3684133843,-1087.4431109532,1494.7473216637
1934,1327,-425.5323959032,-773.3846102155,-1214.474015646,-606.0724470903,-708.2882285277,273.2416341243,-997.7926431827,691.6179807926,1256.9213102008,-1078.3344771831,534.7727230523,1180.5105627982,-1122.1661130729,1298.5638256863,-874.8364654096,1132.5164761029
1935,1539,-1255.8082983844,-466.8147538298,-1506.6329959449,-908.3207291084,-651.9410855651,157.8176467333,-1061.6430291417,696.6402938038,889.6440398883,-1466.4941137307,313.9713610032,1242.3664729346,-1394.0924721668,1530.8868640039,-1114.1970555853,1372.3021901349
1936,1567.5,-1567.3937553734,9.1251973201,-1567.488194923,-1111.6114421864,-480.9113775925,-3.041747712,-975.2805114958,597.7479880237,-18.2500853862,-1567.4734386183,-6.08348397,1105.158925947,-1491.9049892343,1567.497048728,-1227.1447241041,1449.0526535684
1937,1456.25,-1168.3622908844,457.8408437435,-1423.2743830435,-1180.5496158996,-269.6334942878,-154.9528028028,-800.2765035483,448.0450224844,-869.2488825068,-1382.4058102816,-308.1462202787,852.6234027396,-1431.070173422,1447.9826281429,-1216.6435716217,1385.6116773205
1938,1881.5,-561.6863824157,1114.2776407801,-1716.0166791763,-1678.7727111089,-114.0066944966,-394.5610650646,-888.9777610062,436.7100834928,-1795.7033880373,-1516.0565917068,-771.5756649796,849.5672041906,-1878.042790676,1839.664049748,-1658.240269212,1830.116540818
