Year,Mean_chattisgarh,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1963,3005.5,920.0489463027,2428.8101364776,-2433.2910771458,2857.6930481757,186.8914948765,-927.3008998266,2956.9668291482,-2968.3182701904,2861.2130620433,1770.285731441,1764.1215331951,930.9246437861,2999.6836198411,-2858.8709819054,537.938120342,-471.2927931276
1964,3162,-985.300427452,1855.0908398778,-2889.7974119106,2816.3843164325,-200.2629781654,-656.0124173896,3047.7229603145,-3074.3821500067,3004.567700629,2560.6409306659,1283.4776656082,1437.4363923852,3155.6518723675,-3093.2008839115,842.3946564243,-739.2011875804
1965,2253.25,-1826.0983991623,693.7144025417,-2204.3860397177,1822.1206793222,-423.2818106734,-234.630260736,2109.2990042886,-2142.7586172015,1320.0379536502,2143.8040699202,466.7094925086,1325.5232146162,2213.1353486068,-2241.0007146913,792.4602658855,-696.9369203225
1966,2179.5,-2179.4952528872,-2.2744595428,-2179.4994725429,1540.3348768087,-674.3677365222,0.7581533032,1963.3796028289,-2013.3777730476,-4.5489166086,2179.4988132215,-1.5163065148,1541.9431627939,2072.5463579708,-2179.4998681357,946.2350581095,-834.5838441989
1967,2882.25,-2328.7893091656,-893.0879229273,-2818.9121507208,1693.1128722921,-1228.1247704997,302.1220912852,2473.8904505451,-2567.8142104389,-1698.2654138903,2740.3939542375,-600.9154258454,2332.5380734682,2607.5035207234,-2866.371801504,1478.9290385958,-1309.0818321129
1968,2438,-750.0203811587,-1434.4501229975,-2226.744254961,1106.0412741241,-1306.9426599623,507.4650265807,1972.0865340967,-2078.5057885792,-2319.7658131472,1971.343918405,-992.7003691941,2172.6750101969,2058.0925352303,-2384.6012762719,1433.429001393,-1274.2282710891
1969,2516,780.1938911722,-2036.3231362175,-2034.9288102737,776.809818835,-1604.1974431216,777.9380159599,1894.4601932266,-2035.2775614383,-2391.9769004273,1477.7158336113,-1479.6353392367,2393.0780399648,1938.2483234824,-2392.7115253044,1655.6800947888,-1479.155586105
1970,3338.5,2702.4977419915,-3175.5212927674,-2233.2200857728,521.5862412372,-2434.0333375597,1358.3035363364,2306.8323738523,-2538.394957091,-1960.1245380156,1030.3624455407,-2481.5943057843,3297.5036077239,2284.9647615768,-3049.6874845099,2413.3185966521,-2168.4402901198
1971,3233.5,3233.4996046787,-3233.4999011697,-1616.2884098079,-0.3997298132,-2616.14440275,1616.9807786251,2015.8756856497,-2286.2884467679,1.5989191919,-0.7994596204,-2800.5595916389,3233.4999752924,1900.3448934233,-2800.1598903557,2528.1945079456,-2286.57109843
1972,2667,2157.3724595981,-2536.3952126737,-823.9995546023,-417.3265914121,-2337.1551289056,1567.6865419904,1469.186300264,-1732.03333985,1568.0028923977,-824.3714727754,-2536.5160622427,2634.1464492508,1284.7548028438,-2157.6023512367,2225.8437984541,-2028.0408057157
